,Field name,M/O/C,Data type,Field description,Sample value,,,
1,transactionId,M,String (25),Unique identification to identify the transaction. Format : <ChannelCode> (3) + <subId/subfunction> (3)> < YYMMDD (6)> + <running (11)> + <random (2)>,APF0012310180000004753955,,,
2,channel,M,String (10),Channel that originally initiates the transaction e.g. CMS,CMS,,,
3,sourceSystem,M,String (10),Source system that submits the request to Payment Hub e.g. APF represents API Factory,APF,,,
4,transactionOriginator,O,String (36),A profile identifier provided to the partner by Krungsri representing originator of a transaction.,GCPB,,,
5,transactionInitiator,O,String (36),A profile identifier provided to the partner by Krungsri representing initiator of a transaction.,ABCD_CORP,,,
6,consumerType,M,String (1),Consumer type. Possible values : 1 : External platform 2 : Internal platform,1,,,
7,withholdingTaxAgent,M,Boolean,Withholding tax agent flag. Possible values : true false,TRUE,,,
8,partnerName,C,String (256),Partner name for Withholding tax agent report. Conditional mandatory if withholdingTaxAgent is true.,PARTNER_A,,,
9,lumsumFlag,O,String (20),Lumsum flag. If lumsum flag is not provided, the transactions will not be lumsum. Possible values : ALL_DEBIT : Lumsum all debit SERVICE_TYPE : Lumsum by service and type ALL_SERVICE : Lumsum all services Jun 26,,2025,ALL_DEBIT
10,transactionDatetime,M,String (30),Transaction date time. Format: YYYY-MM-DDTHH:mm:ss. SSS +07:00,2024-03-01T11:52:13.336+07:00,,,
11,paymentTemplate,M,String (50),Payment template that identifies the model of financial instruction execution.,DIRECT_CREDIT_RETURN_FEE_001,,,
12,sideSafeWatchValidation,M,Boolean,Side SafeWatch validation flag. Possible values : true false,TRUE,,,
13,blacklistValidation,M,Boolean,Blacklist validation flag. Possible values : true false,TRUE,,,
14,kycValidation,M,Boolean,KYC validation flag. Possible values : true false,TRUE,,,
15,validationDetails,O,Object,Validation details. Payment Hub will perform validation only when it is provided.,,,,
16,validationDetails.sender,O,Object,Sender validation details. Payment Hub will perform sender validation only when it is provided.,,,,
17,validationDetails.sender.accountType[ ],O,Array String (10),List of allowed account types for Sender. Payment Hub will perform sender account type validation only when it is provided. Possible values : SA : Savings account CA : Current account,SA,,,
18,validationDetails.sender.accountOwnerType[ ],O,Array String (10),List of allowed account owner type for Sender. Payment Hub will perform sender account owner type validation only when it is provided. Possible values : PRIIND : Primary individual PRIJAN : Primary Joint AND PRIJOR : Primary Joint OR PRIJBY : Primary Joint BY PRIJFO : Primary Joint FOR SECJAN : Secondary Joint AND SECJOR : Secondary Joint OR SECJBY : Secondary Joint BY SECJFO : Secondary Joint FOR MORJAN : Others Joint AND MORJOR : Others Joint OR MORJBY : Others Joint BY MORJFO : Others Joint FOR,PRIIND,,,
19,validationDetails.beneficiary,O,Object,Beneficiary validation details. Payment Hub will perform beneficiary validation only when it is provided.,,,,
20,validationDetails.beneficiary.accountType[ ],O,Array String (10),List of allowed account types for Beneficiary. Payment Hub will perform beneficiary account type validation only when it is provided. Possible values : SA : Savings account CA : Current account TD : Time-deposit account,SA,,,
21,validationDetails.beneficiary.accountOwnerType[ ],O,Array String (10),List of allowed account owner type for Beneficiary. Payment Hub will perform beneficiary account owner type validation only when it is provided. Possible values : PRIIND : Primary individual PRIJAN : Primary Joint AND PRIJOR : Primary Joint OR PRIJBY : Primary Joint BY PRIJFO : Primary Joint FOR SECJAN : Secondary Joint AND SECJOR : Secondary Joint OR SECJBY : Secondary Joint BY SECJFO : Secondary Joint FOR MORJAN : Others Joint AND MORJOR : Others Joint OR MORJBY : Others Joint BY MORJFO : Others Joint FOR,PRIIND,,,
22,ultimateSenderInformation,C,Object,Conditional mandatory if blacklistValidation or kycValidation is true.,,,,
23,ultimateSenderInformation.identificationNumber,C,String (13),Conditional mandatory if blacklistValidation or kycValidation is true. ultimateSenderInformation.typeOfIdentification is provided. Ultimate sender identification number.,2.10035E+12,,,
24,ultimateSenderInformation.typeOfIdentification,C,String (2),Conditional mandatory if blacklistValidation or kycValidation is true. ultimateSenderInformation.identificationNumber is provided. Ultimate sender identification type. Possible Values : 01 - บัตรประชาชน 02 - หนังสือต่างด้าว 03 - บัตรข้าราชการ 04 - บัตรเหลือง 05 - ใบขับขี่ 06 - หนังสือเดินทาง 07 - ทะเบียนนิติบุคคล 08 - ทะเบียนพาณิชย์ 09 - บัตรนักศึกษา 10 - รหัสมาตรฐาน 11 - รหัสนิติบุคคลในต่างประเทศ 12 - รหัสองค์กรหรือหน่วยงานในต่างประเทศ 13 - รหัสองค์กรหรือหน่วยงานราชการของรัฐบาลไทย 15 - ใบอนุญาตแรงงานต่างด้าว 16 - รหัสบุคคลธรรมดาในประเทศอื่น 17 - เลขจดทะเบียนที่ กลต. 18 - เลขจดทะเบียนที่กรมส่งเสริมสหกรณ์ 19 - องค์กรอื่นๆเช่น วัด, สมาคม, มูลนิธิ,…ฯลฯ 20 - สาขาของ บมจ.ธ.กรุงศรีอยุธยา 99 - อื่นๆ,1
25,ultimateSenderInformation.fullName,C,String (150),Ultimate sender name. Conditional mandatory if blacklistValidation or kycValidation is true.,Santi Sopanun,,,
26,ultimateSenderInformation.address,O,String (66),Ultimate sender address in English.,99 SAMPLE VILLAGE, SAMPLE ROAD, VIENTIANE, LAOS
27,ultimateSenderInformation.country,O,String (3),Country of the ultimate sender as per ISO-3166,THA,,,
28,ultimateSenderInformation.city,O,String (29),City of the ultimate sender.,Vientiane,,,
29,ultimateSenderInformation.mobileNumber,O,String (10),Mobile number of the ultimate sender,883214677,,,
30,ultimateSenderInformation.additionalInformation,O,String (94),Additional ultimate sender information or remark.,Remark for ultimate sender,,,
31,senderInformation,C,Object,Conditional mandatory if sideSafeWatchValidation is true.,,,,
32,senderInformation.cifNumber,M,string(20),Ordering customer CIF number.,177284,,,
33,senderInformation.identificationNumber,C,String (13),Conditional mandatory if senderInformation.typeOfIdentification is provided. This information is applicable for consumer that requires source account verification. Identification number is based on type of identification. Expected value is account owner’s identification number.,2.10035E+12,,,
34,senderInformation.typeOfIdentification,C,String (2),Conditional mandatory if senderInformation.identificationNumber is provided. This information is applicable for consumer that requires source account verification. Specified type of identification which will be used to verify the ownership of the account. Expected value is account owner’s type of identification. Possible Values : 01 - บัตรประชาชน 02 - หนังสือต่างด้าว 03 - บัตรข้าราชการ 04 - บัตรเหลือง 05 - ใบขับขี่ 06 - หนังสือเดินทาง 07 - ทะเบียนนิติบุคคล 08 - ทะเบียนพาณิชย์ 09 - บัตรนักศึกษา 10 - รหัสมาตรฐาน 11 - รหัสนิติบุคคลในต่างประเทศ 12 - รหัสองค์กรหรือหน่วยงานในต่างประเทศ 13 - รหัสองค์กรหรือหน่วยงานราชการของรัฐบาลไทย 15 - ใบอนุญาตแรงงานต่างด้าว 16 - รหัสบุคคลธรรมดาในประเทศอื่น 17 - เลขจดทะเบียนที่ กลต. 18 - เลขจดทะเบียนที่กรมส่งเสริมสหกรณ์ 19 - องค์กรอื่นๆเช่น วัด, สมาคม, มูลนิธิ,…ฯลฯ 20 - สาขาของ บมจ.ธ.กรุงศรีอยุธยา 99 - อื่นๆ,1
35,senderInformation.fullName,C,String (150),Conditional mandatory if sideSafeWatchValidation is true. Ordering customer name in English.,Sunanta Trajittri,,,
36,senderInformation.address,O,String (66),Ordering customer address in English.,99 SAMPLE VILLAGE, SAMPLE ROAD, VIENTIANE, LAOS
37,senderInformation.country,C,String (3),Conditional mandatory if sideSafeWatchValidation is true. Country of the sender as per ISO-3166,LAO,,,
38,senderInformation.city,O,String (29),City of the sender.,Vientiane,,,
39,senderInformation.additionalInformation,O,String (94),Additional sender information or remark.,Remark for sender,,,
40,transactionInformation,M,Object,,,,,
41,transactionInformation.amount,M,Number,Transaction amount. Full transaction amount before e-withholding tax and fee deduction.,20000,,,
42,transactionInformation.accountFormat,M,String (10),Sender account format Possible values : GL NORMAL,NORMAL,,,
43,transactionInformation.accountNumber,M,String (34),Krungsri account number served as a transfer from account.,4772661,,,
44,transactionInformation.glInformation,C,Object,GL information. Conditional mandatory if transactionInformation.accountFormat is GL,,,,
